Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A],IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A],delIDS [A],delIDS [A],RatioIDS,RatioIDS
Standard,KCl,-0.1,0.1,0.4,2.0064033799068527e-05,6.483999591446085e-06,2.0192616966067867e-05,6.5183245676543395e-06,1.285831669993363e-07,4.103750342500244e-08,1.0065249211492555,0.0014612805563520605
Standard,KCl,-0.1,1.0,0.05,2.6570154000000005e-06,8.30814020945434e-07,2.6749775333333337e-06,8.295843528618495e-07,1.796213333333356e-08,1.3117197359700187e-08,1.0073009021379795,0.006620257521062751
Standard,KCl,-0.1,1.0,0.1,4.781087400000001e-06,1.5072114448522085e-06,4.768450333333333e-06,1.5072140435054379e-06,-1.2637066666667252e-08,3.3381000843799377e-09,0.9972000075942509,0.0011336221584304178
Standard,KCl,-0.1,1.0,0.2,1.0393698933333334e-05,3.236807503985032e-06,1.0438045066666665e-05,3.242519658466583e-06,4.4346133333333556e-08,1.9583157890733294e-08,1.004496970279509,0.002427546644529333
Standard,KCl,-0.1,1.0,0.4,1.9621133333333334e-05,6.484798281234146e-06,1.9744161333333333e-05,6.545155441012635e-06,1.2302800000000083e-07,6.058307846255582e-08,1.0060465460445724,0.0011192716080938726
Standard,KCl,-0.1,10.0,0.05,2.600729560878244e-06,7.820628168925034e-07,2.6270062208915497e-06,7.789453256928298e-07,2.627666001330643e-08,1.7511104226112686e-08,1.0109095520003104,0.009031174220752282
Standard,KCl,-0.1,10.0,0.1,4.769188749168331e-06,1.4894895081780634e-06,4.811685196274119e-06,1.4950493884097836e-06,4.249644710578801e-08,4.0757589176122394e-08,1.0093099072917606,0.010559853050472532
Standard,KCl,-0.1,10.0,0.2,1.0001341976047904e-05,3.0515724972712367e-06,1.003268628077179e-05,3.0655331827781925e-06,3.134430472388545e-08,3.037371601384959e-08,1.0031354266623713,0.0030064844927658115
Standard,KCl,-0.1,10.0,0.4,1.922695143047239e-05,6.270522291192783e-06,1.9437319161676648e-05,6.389188609437489e-06,2.103677312042594e-07,1.2015786675946358e-07,1.0104313376278444,0.0024763930394039848
Standard,KCl,-0.1,40.0,0.05,2.7589694973544977e-06,8.365389781972051e-07,2.770071507936508e-06,7.935340101371678e-07,1.1102010582010252e-08,4.303465757367983e-08,1.0071212179821838,0.015422230431604825
Standard,KCl,-0.1,40.0,0.1,5.1473819841269846e-06,1.6517381459487355e-06,5.148547433862434e-06,1.671073725893525e-06,1.1654497354492148e-09,4.911628362509928e-08,0.999531541489624,0.011325589044272019
Standard,KCl,-0.1,40.0,0.2,9.923731349206349e-06,3.058405670505332e-06,9.949720370370371e-06,3.0855960766993827e-06,2.5989021164021864e-08,5.5054099315474615e-08,1.002109872178308,0.0064004478654198105
Standard,KCl,-0.1,40.0,0.4,1.9191058730158733e-05,6.367641035426503e-06,1.9356244973544975e-05,6.503813885620996e-06,1.6518624338624182e-07,1.367616755654145e-07,1.0076936231539417,0.004360335432251689
Standard,KCl,0.1,0.01,0.05,1.8386049123017465e-06,1.1255419799501099e-06,1.8669924836731975e-06,1.1046590813241533e-06,2.8387571371451123e-08,2.3421553513076307e-08,1.0235005287789243,0.022586978122350002
Standard,KCl,0.1,0.01,0.1,4.624626223537646e-06,9.313678536223027e-07,4.646208039511917e-06,9.857063538793e-07,2.1581815974270284e-08,5.604315747297083e-08,1.0033014029042775,0.010909672047580077
Standard,KCl,0.1,0.01,0.2,1.094558592829535e-05,3.6356018937842995e-06,1.0962752684259632e-05,3.66933173216904e-06,1.7166755964280332e-08,4.866169237688375e-08,1.0009093688814443,0.005131391984524158
Standard,KCl,0.1,0.01,0.4,2.1560291776622683e-05,7.008660559401215e-06,2.1504278621884583e-05,7.005150204679144e-06,-5.601315473810625e-08,9.606344894222531e-09,0.9972712917766172,0.0007031602593976453
Standard,KCl,0.1,0.1,0.05,2.6007216633399866e-06,8.138312301218201e-07,2.5985800266134396e-06,8.248585149322337e-07,-2.141636726546954e-09,1.330495635211236e-08,0.9983532890582851,0.005195077252063485
Standard,KCl,0.1,0.1,0.1,4.6323558483033935e-06,1.4770918595610507e-06,4.66219381237525e-06,1.4618301790901478e-06,2.983796407185668e-08,1.9385179399908152e-08,1.0074664225898753,0.005782442887193971
Standard,KCl,0.1,0.1,0.2,1.0817545768463073e-05,3.259775545627612e-06,1.087393767797738e-05,3.271680427829204e-06,5.639190951430478e-08,2.3790507941257312e-08,1.0053662666975702,0.002368526934917683
Standard,KCl,0.1,0.1,0.4,2.013061836327345e-05,6.486948055997706e-06,2.021648163672655e-05,6.538350195582896e-06,8.586327345309638e-08,5.158373297545634e-08,1.004009768775317,0.001268441775469877
Standard,KCl,0.1,1.0,0.05,2.6513726666666665e-06,8.303877073346482e-07,2.6731494000000003e-06,8.567481615600471e-07,2.177673333333344e-08,3.6418909862505616e-08,1.0067893107121062,0.01377343726022197
Standard,KCl,0.1,1.0,0.1,4.7388876e-06,1.5328144305282623e-06,4.7420656000000005e-06,1.5147849387078547e-06,3.1779999999994925e-09,1.833862049773743e-08,1.0014471425863487,0.00370360875012835
Standard,KCl,0.1,1.0,0.2,1.0429062533333332e-05,3.2325319995968555e-06,1.04266826e-05,3.241646493521148e-06,-2.379933333333004e-09,3.260279243030158e-08,0.9996854244189811,0.003252527030509721
Standard,KCl,0.1,1.0,0.4,1.959776466666667e-05,6.452335222664842e-06,1.9736527333333334e-05,6.531200449704888e-06,1.3876266666666505e-07,1.0016422020528557e-07,1.0068335330110854,0.003614802995506472
Standard,KCl,0.1,10.0,0.05,2.634644258150366e-06,8.082054117618929e-07,2.6474694278110453e-06,7.711335365063046e-07,1.2825169660678893e-08,5.032938126627195e-08,1.0077593598582666,0.020788097300172986
Standard,KCl,0.1,10.0,0.1,4.784187052561544e-06,1.536129766167925e-06,4.790548017298736e-06,1.5058919371341392e-06,6.360964737192165e-09,3.405810014079143e-08,1.002604281759063,0.007007926314647745
Standard,KCl,0.1,10.0,0.2,1.004006268795742e-05,3.0246308721987563e-06,1.0030719268130404e-05,3.0532304964021098e-06,-9.34341982701373e-09,3.756185699021741e-08,0.9983798293383384,0.0047293222145273275
Standard,KCl,0.1,10.0,0.4,1.923535136393879e-05,6.321139307779344e-06,1.9410726613439788e-05,6.371963050189671e-06,1.7537524950099947e-07,5.62979837002452e-08,1.0092322747492928,0.001631283724017489
Standard,KCl,0.1,40.0,0.05,2.75994828042328e-06,8.199833087040562e-07,2.7815501587301585e-06,8.000833792869409e-07,2.160187830687852e-08,2.0145590375234238e-08,1.0095816130709705,0.009110040710713654
Standard,KCl,0.1,40.0,0.1,5.190492724867725e-06,1.6795169005174423e-06,5.169583544973546e-06,1.6407515910736193e-06,-2.0909179894179823e-08,3.906111036396105e-08,0.9971653034520754,0.005661339192348045
Standard,KCl,0.1,40.0,0.2,9.999986428571427e-06,3.0783178952508836e-06,1.0003802222222224e-05,3.06455171448684e-06,3.8157936507961775e-09,3.05422635819232e-08,1.000600814675148,0.0031466814261413493
Standard,KCl,0.1,40.0,0.4,1.9227036507936506e-05,6.2960657965990104e-06,1.9387568253968257e-05,6.403419579840768e-06,1.6053174603175034e-07,1.074659857711147e-07,1.0077644387035714,0.0026807252950732064
Standard,KCl,0.2,0.01,0.05,1.8375515898973745e-06,1.126375301123524e-06,1.876847870585099e-06,1.1174777668062578e-06,3.929628068772466e-08,1.7580090590889504e-08,1.02854777286839,0.022863604176943633
Standard,KCl,0.2,0.01,0.1,4.633715423596342e-06,9.650591731300053e-07,4.63435215326387e-06,9.500217040072439e-07,6.367296675276578e-10,3.832857461161581e-08,1.0006346717101333,0.009384504914195516
Standard,KCl,0.2,0.01,0.2,1.0717395697720913e-05,3.573745719142775e-06,1.0766116894575504e-05,3.597635598023496e-06,4.872119685459075e-08,2.396163107786053e-08,1.0043983418667641,0.0006702274903138487
Standard,KCl,0.2,0.01,0.4,2.074073241370119e-05,6.887471989490805e-06,2.0736748460615753e-05,6.942403445700726e-06,-3.98395308543401e-09,5.688643031495802e-08,0.9991832645202278,0.0031081706491854766
Standard,KCl,0.2,0.1,0.05,2.5696621224218234e-06,8.211107491554391e-07,2.573572262142382e-06,8.260448651303286e-07,3.9101397205584845e-09,1.6899419925180984e-08,1.0012441619168782,0.00785836335914104
Standard,KCl,0.2,0.1,0.1,4.662796813040585e-06,1.455146762764281e-06,4.695593020625416e-06,1.4507852647549984e-06,3.2796207584830194e-08,2.426769510333021e-08,1.0076313435171826,0.006881124772181972
Standard,KCl,0.2,0.1,0.2,1.0758776833000664e-05,3.24095920218541e-06,1.0784608383233533e-05,3.279265668696877e-06,2.583155023286784e-08,3.9127987141458424e-08,1.001866985209233,0.0026922278925208044
Standard,KCl,0.2,0.1,0.4,1.9991985495675315e-05,6.444668676894927e-06,2.010928496340652e-05,6.50417807186409e-06,1.1729946773120642e-07,6.122056389327084e-08,1.0056644216179305,0.001152745251824763
Standard,KCl,0.2,1.0,0.05,2.647398733333333e-06,8.542804369357016e-07,2.6608300666666666e-06,8.42420754775055e-07,1.3431333333332804e-08,1.4928446533157344e-08,1.006231791969993,0.006665470387184932
Standard,KCl,0.2,1.0,0.1,4.760423599999999e-06,1.4681162338704245e-06,4.755178066666667e-06,1.4950276671148852e-06,-5.245533333332878e-09,3.0418235370470956e-08,0.9977953527766822,0.006491320213202552
Standard,KCl,0.2,1.0,0.2,1.03718428e-05,3.244522414003583e-06,1.0420563333333333e-05,3.26385843171065e-06,4.8720533333333336e-08,2.2095928499462717e-08,1.004652402286574,0.001120265231355781
Standard,KCl,0.2,1.0,0.4,1.9575430666666667e-05,6.457477556562572e-06,1.9714040666666667e-05,6.5256044343402654e-06,1.3861000000000023e-07,6.922680899767198e-08,1.0068589681113602,0.0011541777553167804
Standard,KCl,0.2,10.0,0.05,2.603251483699268e-06,7.659578312484489e-07,2.6087163073852294e-06,7.435212073858441e-07,5.464823685960922e-09,4.535548850105049e-08,1.0039161411213362,0.02048907020094664
Standard,KCl,0.2,10.0,0.1,4.754126872920825e-06,1.4867150165587605e-06,4.75850499001996e-06,1.523021899891705e-06,4.378117099134942e-09,3.797114122272917e-08,0.9995283793710624,0.007373148577812373
Standard,KCl,0.2,10.0,0.2,9.92874608782435e-06,3.00620347733717e-06,9.965222302062543e-06,2.9990020880522665e-06,3.647621423819177e-08,3.59480092255224e-08,1.0041529668818632,0.004930236124651516
Standard,KCl,0.2,10.0,0.4,1.919948463073852e-05,6.275353831980992e-06,1.942770612109115e-05,6.363189779405041e-06,2.282214903526285e-07,8.887642382169619e-08,1.0117656500976713,0.0009255583187324993
Standard,KCl,0.2,40.0,0.05,2.7413721164021164e-06,8.49002537860389e-07,2.7433284126984128e-06,8.230710545336352e-07,1.9562962962963662e-09,2.739309931729888e-08,1.002491155591357,0.009163855763524407
Standard,KCl,0.2,40.0,0.1,5.099950158730158e-06,1.6340499643475032e-06,5.140884867724868e-06,1.6754210480729552e-06,4.0934708994709775e-08,5.576629771469921e-08,1.0070224741145093,0.010111720716936442
Standard,KCl,0.2,40.0,0.2,9.802314444444443e-06,3.0612175258217125e-06,9.798719576719577e-06,3.0760966005804357e-06,-3.5948677248657777e-09,1.936344012908979e-08,0.9993443221813222,0.0018544745900321558
Standard,KCl,0.2,40.0,0.4,1.9107545502645505e-05,6.396712818177224e-06,1.938434417989418e-05,6.503432054472801e-06,2.7679867724867485e-07,1.1789207049210601e-07,1.0144168628607957,0.0030568858696257474
Standard,KCl,0.3,0.01,0.05,1.8096422375049979e-06,1.0939780901111603e-06,1.8213089288284685e-06,1.0577104165862244e-06,1.1666691323470742e-08,3.813613222219048e-08,1.0150521598885094,0.022606650841191078
Standard,KCl,0.3,0.01,0.1,4.642423909016677e-06,9.424586559509148e-07,4.645506225077522e-06,9.56145751908411e-07,3.082316060845026e-09,1.6282535041555124e-08,1.0003227883508192,0.0032539045179573504
Standard,KCl,0.3,0.01,0.2,1.0582502063174729e-05,3.590789454863604e-06,1.0602991713981075e-05,3.590668200702625e-06,2.0489650806344162e-08,1.874601980221304e-08,1.0020182647469562,0.002004155867017863
Standard,KCl,0.3,0.01,0.4,2.022937551646008e-05,6.789687882913766e-06,2.0302244902039183e-05,6.829937351773801e-06,7.286938557910088e-08,4.8831168009481425e-08,1.0034838360722516,0.0015388896239830088
Standard,KCl,0.3,0.1,0.05,2.6231676114437793e-06,7.887832381626046e-07,2.6037273186959417e-06,7.849534022452632e-07,-1.9440292747837856e-08,4.152198219296389e-08,0.992502188945784,0.019025196071503537
Standard,KCl,0.3,0.1,0.1,4.650471197604791e-06,1.4374284360678103e-06,4.6879469328010645e-06,1.4538400541868675e-06,3.747573519627373e-08,1.658351330743955e-08,1.0078670158979888,0.0011188201160665262
Standard,KCl,0.3,0.1,0.2,1.0681040445775116e-05,3.273867709822731e-06,1.0750345236194278e-05,3.287413775788548e-06,6.930479041916174e-08,1.3752587691010047e-08,1.0066398766625089,0.0008261582101929944
Standard,KCl,0.3,0.1,0.4,1.9922233865602126e-05,6.429752173159646e-06,2.003421004657352e-05,6.476142172128318e-06,1.1197618097139327e-07,5.013185324525305e-08,1.0055455985302746,0.0010907641053476236
Standard,KCl,0.3,1.0,0.05,2.6477179999999997e-06,8.366831130564069e-07,2.648273066666667e-06,8.410829324699043e-07,5.550666666663489e-10,6.011761106242767e-08,1.0004869446549638,0.027271485374417273
Standard,KCl,0.3,1.0,0.1,4.7272836e-06,1.4830165478328551e-06,4.755336600000001e-06,1.4834904944165845e-06,2.805300000000067e-08,1.813221540904492e-08,1.0062776085910417,0.004979567939462689
Standard,KCl,0.3,1.0,0.2,1.0329008066666667e-05,3.257314347784851e-06,1.0382731933333334e-05,3.217167074263297e-06,5.3723866666668e-08,5.0612935637178795e-08,1.00625627493947,0.005571492321047478
Standard,KCl,0.3,1.0,0.4,1.9548492000000002e-05,6.469454814430968e-06,1.969743e-05,6.530002278214915e-06,1.4893799999999905e-07,7.323479380731239e-08,1.0075706663969466,0.0024042742039309365
Standard,KCl,0.3,10.0,0.05,2.604742794411178e-06,7.460967076407649e-07,2.634390259481038e-06,7.244611969336459e-07,2.9647465069860402e-08,3.100948497416108e-08,1.01345861680551,0.015087458515406667
Standard,KCl,0.3,10.0,0.1,4.745933526280772e-06,1.5067402792277655e-06,4.748320911510313e-06,1.5155011569334918e-06,2.387385229540759e-09,9.164504873385115e-09,1.0001807093410886,0.0016878597695021969
Standard,KCl,0.3,10.0,0.2,9.84705731204258e-06,2.9748437908487564e-06,9.894099667332003e-06,2.988930923964646e-06,4.704235528942171e-08,1.4139987260733492e-08,1.0047835641244107,0.00014733127747268567
Standard,KCl,0.3,10.0,0.4,1.9174501729873583e-05,6.3089873993463905e-06,1.9495905322687956e-05,6.432968979473077e-06,3.2140359281437e-07,1.2850137377669363e-07,1.0166195321196978,0.002078059350453708
Standard,KCl,0.3,40.0,0.05,2.7057665873015874e-06,8.042098090228087e-07,2.715133227513228e-06,8.20848151628554e-07,9.366640211640046e-09,1.7881865084663485e-08,1.002495388082176,0.005896238333425736
Standard,KCl,0.3,40.0,0.1,5.046527089947091e-06,1.632839927168378e-06,5.087745873015874e-06,1.6407970364542245e-06,4.121878306878279e-08,3.27583019323673e-08,1.008359824882917,0.007786455009650432
Standard,KCl,0.3,40.0,0.2,9.690391243386244e-06,3.057875204156334e-06,9.721421058201059e-06,3.0669183259398175e-06,3.1029814814814515e-08,3.2614943498842746e-08,1.0033194592612935,0.00383159020378085
Standard,KCl,0.3,40.0,0.4,1.915986931216931e-05,6.444362795510232e-06,1.9725544444444445e-05,6.5882240339256945e-06,5.656751322751307e-07,1.656814205276068e-07,1.0301782266935462,0.006247635715144119
Standard,KCl,0.4,0.01,0.05,1.7992020413034787e-06,1.0420733611620454e-06,1.836371007330401e-06,1.0439199829821715e-06,3.7168966026922435e-08,2.4431749053331745e-08,1.025126520660882,0.02433715719014428
Standard,KCl,0.4,0.01,0.1,4.59599391792813e-06,9.836393070301476e-07,4.619998767046537e-06,9.684255287178015e-07,2.400484911840753e-08,1.6024462432730753e-08,1.0058104026851826,0.004346875206756464
Standard,KCl,0.4,0.01,0.2,1.0417122918832467e-05,3.5191004901729783e-06,1.0462628911102227e-05,3.5061303442787845e-06,4.55059922697575e-08,1.3800672669962637e-08,1.0049499405298776,0.0025833665463777613
Standard,KCl,0.4,0.01,0.4,1.981687594295615e-05,6.695473369499344e-06,1.9932849300279886e-05,6.742365690904991e-06,1.1597335732373689e-07,4.99831757593861e-08,1.0058005901917388,0.0009765108871397632
Standard,KCl,0.4,0.1,0.05,2.6060832401862944e-06,8.086618493033355e-07,2.632018862275449e-06,7.926699913887149e-07,2.593562208915475e-08,1.607064392646721e-08,1.011664896260208,0.00832009642346264
Standard,KCl,0.4,0.1,0.1,4.636702155688622e-06,1.4572988965869812e-06,4.6896047039254815e-06,1.4601487569170494e-06,5.2902548236859246e-08,4.902479358253087e-08,1.0120627442795536,0.013343134490695935
Standard,KCl,0.4,0.1,0.2,1.0640075469061876e-05,3.2325445929475007e-06,1.0672213459747173e-05,3.2569597373021145e-06,3.2137990685296006e-08,4.270273624755327e-08,1.0028548363069383,0.003636364129029893
Standard,KCl,0.4,0.1,0.4,1.9823723819028606e-05,6.4335816224814545e-06,1.9928120292747835e-05,6.460372001340378e-06,1.0439647371922855e-07,2.6790389063410513e-08,1.0053413535532076,0.00035184162084885066
Standard,KCl,0.4,1.0,0.05,2.634526133333333e-06,7.926413125760563e-07,2.649784933333333e-06,8.036275403595456e-07,1.5258800000000143e-08,1.568748031903136e-08,1.0053158967533686,0.005779213407644942
Standard,KCl,0.4,1.0,0.1,4.7365036666666664e-06,1.5230261288541626e-06,4.747391666666667e-06,1.5126955622896803e-06,1.0888000000000139e-08,1.1401084469471832e-08,1.0028565194381471,0.002864594683329857
Standard,KCl,0.4,1.0,0.2,1.0312242266666667e-05,3.191221111340373e-06,1.0395050266666668e-05,3.219618220242501e-06,8.280800000000079e-08,3.682346176502213e-08,1.0078982374043886,0.002705737433863915
Standard,KCl,0.4,1.0,0.4,1.9469664666666665e-05,6.4393867803461955e-06,1.9665079333333335e-05,6.523727935379994e-06,1.9541466666666722e-07,8.43908431604569e-08,1.0098265467335088,0.0009541270676517738
Standard,KCl,0.4,10.0,0.05,2.567345921490353e-06,7.545302407820372e-07,2.6003089820359283e-06,7.475141340460524e-07,3.2963060545575524e-08,8.47473588797087e-09,1.013996876040007,0.006364187029474015
Standard,KCl,0.4,10.0,0.1,4.690786360612109e-06,1.5160004806834675e-06,4.768086094477711e-06,1.5281456920665408e-06,7.729973386560233e-08,1.2705542861101224e-08,1.0170041033669441,0.002605170093770361
Standard,KCl,0.4,10.0,0.2,9.763566393878907e-06,2.926505131642472e-06,9.889015515635397e-06,2.975767585117382e-06,1.2544912175648797e-07,5.327445571681694e-08,1.0126795723145927,0.0023770189442908615
Standard,KCl,0.4,10.0,0.4,1.914883619427811e-05,6.271690760337778e-06,1.961417358616101e-05,6.455663091278975e-06,4.6533739188290275e-07,1.991242740614649e-07,1.024086465292438,0.0046617544578322605
Standard,KCl,0.4,40.0,0.05,2.669215026455027e-06,8.071775449673297e-07,2.6864981481481483e-06,8.185610310125782e-07,1.7283121693121875e-08,4.0513748449833556e-08,1.0063664513114496,0.017328310120184952
Standard,KCl,0.4,40.0,0.1,5.032209576719576e-06,1.5878063397019537e-06,5.093390476190476e-06,1.6306735314030243e-06,6.118089947089929e-08,4.9784409034806634e-08,1.0112481620649798,0.007692951006935262
Standard,KCl,0.4,40.0,0.2,9.588528121693122e-06,3.039894048848273e-06,9.836816481481484e-06,3.1048469333263086e-06,2.4828835978836113e-07,7.005372594307953e-08,1.0262726277453211,0.0038775997356936672
Standard,KCl,0.4,40.0,0.4,1.929976560846561e-05,6.508986474020443e-06,2.030156164021164e-05,6.816101408584651e-06,1.0017960317460304e-06,3.319137688432305e-07,1.0524750658742228,0.008581849414476527
Standard,KCl,0.5,0.01,0.05,1.7911434466213513e-06,1.0024883275132772e-06,1.7901075597760897e-06,1.0334743429367503e-06,-1.0358868452618198e-09,3.158187975063575e-08,0.9934420604163003,0.017092175427589465
Standard,KCl,0.5,0.01,0.1,4.623950831147112e-06,1.0092202083686769e-06,4.624751208867116e-06,9.791951232692113e-07,8.003777200040299e-10,3.307253371438119e-08,1.0010365332884212,0.006754706788395918
Standard,KCl,0.5,0.01,0.2,1.0277189704118352e-05,3.5164788810470998e-06,1.0348927819538851e-05,3.5030898913773077e-06,7.173811542049819e-08,1.5079707309140734e-08,1.0077776279916835,0.003499230758450154
Standard,KCl,0.5,0.01,0.4,1.9571000093296017e-05,6.661513556518364e-06,1.9685721711315475e-05,6.723964698026175e-06,1.1472161801946053e-07,6.82561479967502e-08,1.0056510824483913,0.0017153452841307017
Standard,KCl,0.5,0.1,0.05,2.5881659614105125e-06,8.005638803689451e-07,2.62732372588157e-06,7.908461028029544e-07,3.9157764471057974e-08,1.3750920276786316e-08,1.01668241611886,0.008724115864564336
Standard,KCl,0.5,0.1,0.1,4.657680645375914e-06,1.4250963506355951e-06,4.669601776447106e-06,1.4222922707701597e-06,1.1921131071191222e-08,1.584179329049001e-08,1.0028128582197335,0.0042402232005224055
Standard,KCl,0.5,0.1,0.2,1.0548285888223552e-05,3.2352255505535323e-06,1.064127250166334e-05,3.2640275687502066e-06,9.298661343978568e-08,2.940765203227693e-08,1.0087917430231315,0.0006586427324052061
Standard,KCl,0.5,0.1,0.4,1.9680469461077842e-05,6.426100029048998e-06,1.9824675582168992e-05,6.486405274101318e-06,1.4420612109114999e-07,6.340692004682162e-08,1.0071531493349262,0.001504527748789067
Standard,KCl,0.5,1.0,0.05,2.6449362666666674e-06,8.134368526392286e-07,2.6435042e-06,8.590887493521027e-07,-1.432066666666771e-09,4.566605906461899e-08,0.9962423344508999,0.015687058874807862
Standard,KCl,0.5,1.0,0.1,4.759710066666667e-06,1.524389739727401e-06,4.782836e-06,1.5051800228222136e-06,2.312593333333378e-08,2.0524857579368264e-08,1.005924383069643,0.005292927472754429
Standard,KCl,0.5,1.0,0.2,1.0252878266666666e-05,3.2159819572056383e-06,1.0358334066666667e-05,3.2191939393844926e-06,1.0545580000000041e-07,2.0101906179265782e-08,1.0109639511257773,0.004215533331410085
Standard,KCl,0.5,1.0,0.4,1.9384780666666666e-05,6.4152334978120105e-06,1.9624714666666663e-05,6.485501641066891e-06,2.3993399999999773e-07,8.89074380015521e-08,1.0123867578813766,0.0032631317572537513
Standard,KCl,0.5,10.0,0.05,2.577506107784431e-06,7.268526825708072e-07,2.587856679973387e-06,7.546879932907532e-07,1.0350572188955185e-08,2.848423974807783e-08,1.0023664117465787,0.009296633598883532
Standard,KCl,0.5,10.0,0.1,4.709242648037259e-06,1.5374568308655677e-06,4.804086872920825e-06,1.5915448253533015e-06,9.484422488356617e-08,5.879103164106637e-08,1.0191560925916219,0.007729243825480816
Standard,KCl,0.5,10.0,0.2,9.730976420492347e-06,2.930952653955488e-06,9.936978988689289e-06,3.0063977923746746e-06,2.0600256819693991e-07,1.0198550793843684e-07,1.0211305495674574,0.007974314142747407
Standard,KCl,0.5,10.0,0.4,1.920575821689953e-05,6.201972856064567e-06,1.9981507185628742e-05,6.4820105998526335e-06,7.757489687292091e-07,2.909995916053258e-07,1.0402047807710186,0.00485906010434404
Standard,KCl,0.5,40.0,0.05,2.675333148148148e-06,8.190583438948546e-07,2.7436111111111113e-06,7.944199186760331e-07,6.827796296296311e-08,6.202442570657124e-08,1.0293243545710278,0.03254764851838238
Standard,KCl,0.5,40.0,0.1,4.960651878306878e-06,1.5831891715598796e-06,5.1549183862433856e-06,1.6574465798952328e-06,1.942665079365076e-07,7.572603574373938e-08,1.0386753756203153,0.004444050740681196
Standard,KCl,0.5,40.0,0.2,9.657656825396826e-06,3.009257710126514e-06,1.0179118518518516e-05,3.1805350402165227e-06,5.214616931216922e-07,1.9391164090848515e-07,1.0541281348410143,0.011164995664661956
Standard,KCl,0.5,40.0,0.4,1.9270122486772488e-05,6.535356126425877e-06,2.112826825396825e-05,7.075862393875364e-06,1.8581457671957658e-06,6.033730326204957e-07,1.097977896773982,0.019241553987325008
Standard,KCl,0.6,0.01,0.05,1.7725764848727178e-06,1.0040319613145402e-06,1.8255462702918836e-06,9.90680779367291e-07,5.2969785419165766e-08,1.744322443966958e-08,1.0384342391035668,0.025225922505400178
Standard,KCl,0.6,0.01,0.1,4.619218018661762e-06,9.509682379948308e-07,4.6095607463470645e-06,9.603567339461428e-07,-9.657272314696279e-09,1.7660117352635292e-08,0.9976179588123104,0.004159349981348178
Standard,KCl,0.6,0.01,0.2,1.0203943687858189e-05,3.4637899487088553e-06,1.0296508561908571e-05,3.4802550776015064e-06,9.256487405038098e-08,3.0797150853633864e-08,1.009301207763518,0.0029461939281104684
Standard,KCl,0.6,0.1,0.05,2.603093107119095e-06,8.007775367350824e-07,2.622881809713905e-06,7.553361536296889e-07,1.9788702594810213e-08,4.934718155879113e-08,1.0112464589757932,0.019705266791048563
Standard,KCl,0.6,0.1,0.1,4.669863546240852e-06,1.4736181744148871e-06,4.683854431137725e-06,1.4686672882519346e-06,1.3990884896873243e-08,1.878563757173848e-08,1.0033745795595828,0.005057566403931884
Standard,KCl,0.6,0.1,0.2,1.0501642761144378e-05,3.2643506998852583e-06,1.0654747771124418e-05,3.2727735384016602e-06,1.53105009980041e-07,6.267087518772777e-08,1.0151545252730305,0.006768214507586403
Standard,KCl,0.6,1.0,0.05,2.6551081333333333e-06,8.494586213785416e-07,2.695482e-06,8.316055873565785e-07,4.0373866666666676e-08,2.5614879976554657e-08,1.0175579352745132,0.01428928753319048
Standard,KCl,0.6,1.0,0.1,4.7495364666666665e-06,1.5316984350136324e-06,4.8041337333333335e-06,1.5670443429631634e-06,5.4597266666666924e-08,3.555312239133669e-08,1.0107755613002027,0.0035002082350407706
Standard,KCl,0.6,1.0,0.2,1.0224417866666666e-05,3.170524268583611e-06,1.0402439333333335e-05,3.2228302683723023e-06,1.780214666666684e-07,5.355580132958048e-08,1.0175098321423308,0.0014125920011870921
Standard,KCl,0.6,10.0,0.05,2.5430043779108447e-06,7.25443923398633e-07,2.6541237391882895e-06,7.395831008033028e-07,1.1111936127744498e-07,1.7240510965020115e-08,1.0449212696024093,0.008130785280902289
Standard,KCl,0.6,10.0,0.1,4.72054504324684e-06,1.54329657783296e-06,4.932940871590154e-06,1.5778848268084122e-06,2.1239582834331365e-07,4.474044456782311e-08,1.046394716779638,0.009608071723431541
Standard,KCl,0.6,10.0,0.2,9.721521623419828e-06,2.940825819184561e-06,1.0169196759813705e-05,3.119740478292297e-06,4.476751363938775e-07,2.0408132273232755e-07,1.0455141409681097,0.011627858003219237
Standard,KCl,0.6,40.0,0.05,2.655843624338624e-06,7.599888500552682e-07,2.854432301587301e-06,8.207518375874987e-07,1.9858867724867688e-07,7.720851145621626e-08,1.0749451289222502,0.0217844329723363
Standard,KCl,0.6,40.0,0.1,5.027352063492063e-06,1.7013242173098669e-06,5.415161746031745e-06,1.7660457138589198e-06,3.8780968253968205e-07,6.568699494449085e-08,1.0798251616422974,0.01230803365903394
Standard,KCl,0.6,40.0,0.2,9.802001216931218e-06,3.07367491446709e-06,1.076929582010582e-05,3.32024176190963e-06,9.672946031746026e-07,2.7009307280435083e-07,1.1002178855001694,0.016252061491041844
Standard,KCl,0.7,0.01,0.05,1.7785297755564442e-06,1.0174282847350513e-06,1.7887332155137945e-06,9.940480149251093e-07,1.0203439957350172e-08,2.357154832098823e-08,1.0113663657029182,0.014826986322768677
